parameter,parameter_label,parameter_key,parameter_value,manuscript_environment,internal_environment,requested_epochs,episode_count,valid_count,seed_min,seed_max,path_length_mean,path_length_std,path_length_min,path_length_max,path_length_median,maximum_curvature_mean,maximum_curvature_std,maximum_curvature_min,maximum_curvature_max,maximum_curvature_median,minimum_clearance_mean,minimum_clearance_std,minimum_clearance_min,minimum_clearance_max,minimum_clearance_median,smoothness_mean,smoothness_std,smoothness_min,smoothness_max,smoothness_median,wheel_effort_mean,wheel_effort_std,wheel_effort_min,wheel_effort_max,wheel_effort_median,centering_mean,centering_std,centering_min,centering_max,centering_median,computation_time_seconds_mean,computation_time_seconds_std,computation_time_seconds_min,computation_time_seconds_max,computation_time_seconds_median,collision_count_sum,collision_count_mean,collision_rate
tau,Softmin Temperature,softmin_temperature,1.0,Level-3,Moderate-III,30,30,30,20890704,20890733,15.317618357245522,1.1104444699230585,14.136121383894826,19.03486454473192,14.967850990345074,45.524008307792805,50.37840688826979,7.628844416251911,262.5356310364449,27.195934079076803,0.21652475842498534,0.01081799376047919,0.2,0.223606797749979,0.223606797749979,227.42109009638332,47.27676374713847,174.44533588477765,408.73409992519964,214.06906872322932,218.60582065100823,76.04049593701737,142.25866823185336,577.967580267402,205.52306522627902,1586.9903258700967,54.94150633821451,1508.8335634543016,1749.7626660526344,1585.3664115384554,104.37375930945079,0.9994879411531798,102.78112983703613,106.22646522521973,104.35673260688782,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.05,Level-4,Moderate-II,30,30,30,20880704,20880733,21.934581893407827,0.8188612081951584,20.76676609653478,25.12026522105647,21.78443085790983,10.56581952681403,12.991328092737861,4.146301501990309,55.72007050336157,5.298875369521371,0.25717381609394174,0.02935350602022653,0.223606797749979,0.28284271247461906,0.28284271247461906,306.02391751276747,36.71642328710583,256.9486396994562,409.1160443156882,296.16602943805293,138.96707600226807,65.59362697856064,88.684764062664,359.4295722693369,118.85213161032897,1592.4013108875342,50.58286709932441,1421.8528091542405,1689.6847733213506,1598.1004362652454,115.30245312849681,0.7589555224292605,114.01820230484009,117.10225033760071,115.14325249195099,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.1,Level-4,Moderate-II,30,30,30,20880704,20880733,21.851887089452326,0.7637807195618604,20.862349860737808,25.32357753463266,21.694655105638205,99.20254049285876,457.5084018116415,4.174790927912142,2558.683900814374,4.821561766473067,0.2551992856031204,0.029552066385568104,0.223606797749979,0.28284271247461906,0.28284271247461906,307.649492841283,34.307045443893905,261.06312031341855,410.9821444613871,298.4059763667068,130.5023599496682,49.35778416631491,83.30815748367912,287.8485157412662,118.29806187981373,1589.9805499761014,53.320609514384365,1420.6791927839415,1705.2147631839473,1599.1290562149616,114.52025799751281,2.0517529092888,109.81332063674927,117.90613770484924,114.99757659435272,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.2,Level-4,Moderate-II,30,30,30,20880704,20880733,21.62085157091048,0.39797939695018575,20.924785919584764,22.972965436756756,21.57051276202153,12.00126364979961,23.295716524376395,3.991889131027132,122.37350573834723,5.2589837822017795,0.2591483465847631,0.029019553104476983,0.223606797749979,0.28284271247461906,0.28284271247461906,302.534922882953,31.270395285687105,257.64216925215663,385.3043252357487,292.3060284643103,130.02547966931914,51.71813509183225,85.9946982804196,342.51183818448953,117.9422357431269,1603.439139797568,39.33557583048906,1516.0980170272342,1694.347804443948,1604.236997300601,116.9163046280543,1.1834051143372073,115.21228504180908,119.93868255615234,116.69504308700562,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.3,Level-4,Moderate-II,30,30,30,20880704,20880733,21.557670023273474,0.5684987920303133,20.849991731599317,24.04509087731915,21.492748956086345,6.553829006455813,3.3572073479634357,4.288069376142671,23.073932107455832,5.478299662442099,0.2551992856031204,0.029552066385568104,0.223606797749979,0.28284271247461906,0.28284271247461906,297.8161341669699,26.97138112603968,257.97651277412734,372.8919237595921,292.4597132205437,127.64099657844903,53.89482242775329,91.56260455912634,360.0072980535053,115.84509975223676,1617.9119890998504,39.28873112671386,1537.5234915756737,1711.8041408342021,1614.302401673175,117.15943013827005,1.0578235652180201,115.6714084148407,120.27271676063538,117.09954941272736,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.5,Level-4,Moderate-II,30,30,30,20880704,20880733,21.459380585984107,0.3511824973873588,20.903314332207394,22.403700196136093,21.422888078142506,14.090086563284897,28.091178106273254,4.327857373745057,122.7851923895394,6.687242938905961,0.2532247551122991,0.029617957362320032,0.223606797749979,0.28284271247461906,0.253224755112299,298.12085573619976,30.500155229487987,252.5416187784062,384.88919254012325,293.1610139747403,128.61387802832112,42.95710065101614,83.51984949498618,287.82024274741985,118.65419451246458,1616.3106830522365,38.52537841659371,1530.986932385186,1705.5218653923532,1620.3497313923335,116.43210539023082,0.9982684799712026,114.86338710784912,118.90538167953491,116.28010284900665,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.8,Level-4,Moderate-II,30,30,30,20880704,20880733,21.423568734817195,0.5372575783515086,20.858997188115882,23.8240681076256,21.363465909753437,10.47315406156918,15.108662076085642,4.641321336528355,90.57362093691017,6.656307536041039,0.25717381609394174,0.029353506020226527,0.223606797749979,0.28284271247461906,0.28284271247461906,296.3479065246755,28.493287005649798,250.1077032942681,381.6189774287211,289.4488418211078,132.42932596562142,47.817312371157996,90.00789327418465,355.25388887048047,126.11914818942479,1623.0440093182276,38.25465098387318,1535.5787998155204,1713.0780153022365,1625.8481379644263,116.45565226872762,0.873642755458975,114.41714859008789,118.53650712966919,116.39454925060272,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,1.0,Level-4,Moderate-II,30,30,30,20880704,20880733,21.322866143792403,0.4553510287576091,20.81932551721816,23.341040310991197,21.315598808949904,8.37008500195016,5.094805923850776,4.700407617988315,31.452567135727747,7.49598212466794,0.2532247551122991,0.02961795736232003,0.223606797749979,0.28284271247461906,0.253224755112299,292.20508735556433,28.32886699958478,250.91873438641284,396.8561219780335,287.4830283600865,121.76954053790652,40.64017584196921,90.11142551960984,327.8799930150437,115.42938871144281,1629.4982999806564,37.61448536524723,1547.6468556933912,1733.955073415549,1623.6793475418222,116.26605448722839,1.4672447167497171,110.3555212020874,119.65009546279907,116.24909460544586,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.05,Level-5,Hard,30,30,30,20900704,20900733,26.696577602620387,1.825272122555509,24.776723716312794,31.285224600561857,26.04290565114772,3357.3196364590235,17536.194601126183,15.56736642595444,97791.19560379452,65.69740861502983,0.20000000000000007,5.551115123125783e-17,0.2,0.2,0.2,821.9573698974572,61.7995106651743,683.3470976067249,930.2208731782702,830.9585468479073,473.7318836324573,95.74175391394792,320.6873083060462,683.3225548046105,486.67015829017134,4113.100765749871,101.26997777671889,3914.1421090610975,4322.607625053098,4112.304266652662,212.6135030269623,1.6791752402360522,209.33288478851318,215.8099148273468,212.49072170257568,0,0.0,0.0
tau,Softmin Temperature,softmin_temperature,0.1,Level-5,Hard,30,30,30,20900704,20900733,26.659181682552422,1.877721498638846,24.76926937350522,31.722832091214368,25.845805158043895,406.47960894363035,1479.3124249698656,14.624536844809723,8343.856349684971,89.3526513900812,0.20000000000000007,5.551115123125783e-17,0.2,0.2,0.2,821.6965134210355,58.83339605691715,681.0134442866037,913.2119899185386,821.5820753375563,479.8922724017641,104.85626880612801,317.4195041835688,806.0999580316401,459.0084389348293,4117.42299006442,102.09206704374145,3899.6907523264626,4309.594900613812,4127.70969011285,213.18042494455975,1.7011593175855473,208.38972330093384,216.80327224731445,212.78326988220215,0,0.0,0.0
